ID_Cliente,Primeiro Nome,Sobrenome,Data Nascimento,Estado Civil,Genero,Educacao,ID_Cidade
5000,Ruben,Jimenez,12-11-1966,Solteiro(a),Masculino,Mestrado,19
5001,Arthur,Sai,5-14-1966,Casado(a),Masculino,Mestrado,23
5002,Mayra,Sai,2-24-1966,Casado(a),Feminino,Mestrado,4
5003,Grant,Ferrier,7-27-1966,Casado(a),Masculino,Mestrado,14
5004,Angela,Cook,11-6-1965,Solteiro(a),Feminino,Ensino Fundamental,30
5005,Natalie,Russell,4-3-1965,Solteiro(a),Feminino,Ensino Fundamental,24
5006,Chad,Xu,10-2-1965,Solteiro(a),Masculino,Ensino Médio,20
5007,Shane,Subram,12-6-1965,Casado(a),Masculino,Mestrado,22
5008,Robyn,Diaz,10-26-1965,Casado(a),Feminino,Mestrado,20
5009,Ebony,Gomez,9-18-1965,Casado(a),Feminino,Mestrado,31
5010,Jessie,Munoz,6-5-1964,Solteiro(a),Feminino,Ensino Fundamental,27
5011,Briana,Ruiz,5-9-1964,Solteiro(a),Feminino,Ensino Fundamental,10
5012,Terrence,Shan,11-21-1964,Solteiro(a),Masculino,Ensino Fundamental,7
5013,Wyatt,Foster,4-23-1964,Solteiro(a),Masculino,Ensino Fundamental,6
5014,Kelly,Weadock,4-22-1963,Solteiro(a),Feminino,Ensino Fundamental,31
5015,Carolyn,Malhotra,2-21-1966,Casado(a),Feminino,Mestrado,3
5016,Katrina,Raje,8-2-1966,Casado(a),Feminino,Mestrado,12
5017,Christy,Hu,11-2-1966,Casado(a),Feminino,Mestrado,27
5018,Wesley,Liu,5-1-1963,Solteiro(a),Masculino,Pós-graduação,1
5019,Gilbert,Zeng,4-25-1962,Casado(a),Masculino,Pós-graduação,4
5020,Latasha,Carlson,4-18-1965,Solteiro(a),Feminino,Pós-graduação,23
5021,Kathleen,Carlson,5-12-1965,Solteiro(a),Feminino,Pós-graduação,27
5022,Tonya,Tang,2-23-1965,Casado(a),Feminino,Mestrado,5
5023,Neil,Ramos,11-3-1964,Casado(a),Masculino,Pós-graduação,16
5024,Gretchen,Rivas,3-23-1964,Solteiro(a),Feminino,Pós-graduação,5
5025,Jaclyn,Rai,6-24-1964,Solteiro(a),Feminino,Pós-graduação,5
5026,Melinda,Carlson,12-25-1964,Casado(a),Feminino,Mestrado,30
5027,Clayton,Wagner,7-20-1964,Casado(a),Masculino,Mestrado,30
5028,Isabella,Powell,11-9-1963,Casado(a),Feminino,Mestrado,24
5029,Alberto,Sanz,12-6-1977,Solteiro(a),Masculino,Ensino Médio,29
5030,Kristin,Xu,4-5-1979,Solteiro(a),Feminino,Ensino Médio,15
5031,Jeffery,Guo,7-18-1979,Solteiro(a),Masculino,Ensino Médio,15
5032,Tammy,Martinez,6-16-1979,Solteiro(a),Feminino,Ensino Médio,4
5033,Raymond,Kapoor,10-17-1979,Solteiro(a),Masculino,Pós-graduação,27
5034,Darryl,Zeng,6-12-1979,Solteiro(a),Masculino,Pós-graduação,28
5035,Drew,Chande,6-14-1963,Casado(a),Masculino,Mestrado,24
5036,Brian,Sanchez,10-15-1963,Casado(a),Masculino,Mestrado,27
5037,Cole,Kelly,5-26-1962,Solteiro(a),Masculino,Pós-graduação,6
5038,Laura,Li,8-26-1978,Solteiro(a),Feminino,Pós-graduação,7
5039,Haley,Young,8-4-1977,Solteiro(a),Feminino,Pós-graduação,4
5040,Desiree,Jimenez,10-14-1977,Solteiro(a),Feminino,Pós-graduação,4
5041,Christy,Cai,6-22-1977,Solteiro(a),Feminino,Pós-graduação,21
5042,Natalie,Williams,7-5-1977,Solteiro(a),Feminino,Pós-graduação,9
5043,Carolyn,Rowe,8-23-1977,Solteiro(a),Feminino,Pós-graduação,13
5044,Joshua,Johnson,9-4-1976,Solteiro(a),Masculino,Ensino Médio,4
5045,Jillian,Rodriguez,8-28-1976,Solteiro(a),Feminino,Ensino Médio,19
5046,Arturo,Guo,7-9-1975,Casado(a),Masculino,Ensino Fundamental,10
5047,Tasha,Sharma,3-26-1975,Solteiro(a),Feminino,Ensino Médio,27
5048,Brett,Rana,4-1-1975,Solteiro(a),Masculino,Ensino Médio,31
5049,Rebecca,Hernandez,5-25-1976,Solteiro(a),Feminino,Ensino Médio,14
5050,Roger,Tang,5-26-1976,Solteiro(a),Masculino,Pós-graduação,23
5051,Abby,Chandra,3-27-1976,Solteiro(a),Feminino,Pós-graduação,31
5052,Marie,Alvarez,6-8-1976,Solteiro(a),Feminino,Pós-graduação,13
5053,Xavier,White,7-9-1975,Solteiro(a),Masculino,Pós-graduação,14
5054,Sandra,Liang,9-10-1974,Solteiro(a),Feminino,Ensino Fundamental,30
5055,Albert,Suarez,11-13-1974,Solteiro(a),Masculino,Ensino Fundamental,24
5056,Darrell,Jai,9-22-1974,Solteiro(a),Masculino,Ensino Fundamental,4
5057,Micah,Ye,5-5-1974,Solteiro(a),Masculino,Ensino Fundamental,26
5058,Neil,Rubio,6-5-1974,Solteiro(a),Masculino,Ensino Fundamental,5
5059,Nathan,Foster,10-11-1974,Solteiro(a),Masculino,Ensino Fundamental,21
5060,Dawn,Pal,3-12-1975,Solteiro(a),Feminino,Pós-graduação,15
5061,Kristy,Alonso,8-28-1975,Solteiro(a),Feminino,Pós-graduação,12
5062,Darren,Kapoor,1-16-1975,Solteiro(a),Masculino,Pós-graduação,23
5063,Gerald,Alonso,9-26-1975,Solteiro(a),Masculino,Pós-graduação,2
5064,Ruben,Arun,10-15-1962,Casado(a),Masculino,Ensino Superior,15
5065,Darrell,Beck,3-5-1962,Solteiro(a),Masculino,Ensino Superior,31
5066,Keith,Goldberg,3-9-1961,Casado(a),Masculino,Mestrado,29
5067,Sharon,Xie,5-20-1961,Casado(a),Feminino,Ensino Superior,11
5068,Teresa,Dominguez,9-13-1961,Casado(a),Feminino,Ensino Superior,27
5069,Emily,Butler,12-17-1935,Solteiro(a),Feminino,Ensino Superior,21
5070,Cynthia,Subram,5-8-1935,Casado(a),Feminino,Ensino Superior,31
5071,Virginia,Madan,4-12-1962,Casado(a),Feminino,Ensino Superior,5
5072,Casey,Rowe,4-24-1957,Casado(a),Masculino,Pós-graduação,26
5073,Arturo,Yuan,7-6-1957,Casado(a),Masculino,Pós-graduação,29
5074,Ashley,Foster,12-23-1956,Casado(a),Feminino,Pós-graduação,11
5075,Isaiah,Richardson,5-14-1954,Solteiro(a),Masculino,Pós-graduação,10
5076,Preston,Suri,3-10-1937,Solteiro(a),Masculino,Mestrado,11
5077,Francisco,Vance,6-14-1937,Casado(a),Masculino,Mestrado,26
5078,April,Andersen,4-24-1938,Casado(a),Feminino,Ensino Superior,17
5079,George,Subram,10-21-1939,Casado(a),Masculino,Mestrado,19
5080,Jerry,Andersen,3-9-1940,Casado(a),Masculino,Mestrado,18
5081,Jaclyn,Kumar,9-4-1941,Casado(a),Feminino,Pós-graduação,14
5082,Mario,Andersen,9-26-1941,Casado(a),Masculino,Mestrado,1
5083,Bruce,Srini,12-25-1941,Casado(a),Masculino,Pós-graduação,5
5084,Diane,Jimenez,10-26-1941,Casado(a),Feminino,Pós-graduação,24
5085,Matthew,Miller,8-10-1941,Solteiro(a),Masculino,Mestrado,20
5086,Craig,Romero,6-26-1942,Casado(a),Masculino,Pós-graduação,19
